Player,TEAM,AGE,RESTRICTED AREA FGM,RESTRICTED AREA FGA,RESTRICTED AREA FG%,IN THE PAINT (NON-RA) FGM,IN THE PAINT (NON-RA) FGA,IN THE PAINT (NON-RA) FG%,MID-RANGE FGM,MID-RANGE FGA,MID-RANGE FG%,LEFT CORNER 3 FGM,LEFT CORNER 3 FGA,LEFT CORNER 3 FG%,RIGHT CORNER 3 FGM,RIGHT CORNER 3 FGA,RIGHT CORNER 3 FG%,ABOVE THE BREAK 3 FGM,ABOVE THE BREAK 3 FGA,ABOVE THE BREAK 3 FG%
Anthony Bennett,TOR,23,0.3,0.5,55.6,0,0.2,0,0,0.1,0,0.2,0.3,66.7,0,0.1,0,0.1,0.6,10
Bismack Biyombo,TOR,23,1.6,2.5,62,0.1,0.5,30,0.2,0.5,38.5,0,0,0,0,0,0,0,0,0
Bruno Caboclo,TOR,20,0,0,0,0,0.5,0,0,0.5,0,1,4,25,0,1,0,0,0.4,0
Cory Joseph,TOR,24,1.5,2.6,58.3,0.6,1.5,38,0.8,1.9,41.3,0.1,0.2,42.1,0.1,0.2,50,0.2,0.9,19.2
DeMar DeRozan,TOR,26,2.9,4.8,60.9,1.6,3.9,41.4,2.7,7.1,38,0.2,0.4,45.5,0.1,0.3,40.7,0.3,1,28
DeMarre Carroll,TOR,29,1.4,2.7,52.2,0.6,1.8,34,0.3,1.4,19.4,0.2,0.5,38.5,0.2,0.6,33.3,1.4,3.5,40
Delon Wright,TOR,24,1,1.7,55.8,0.2,0.6,28.6,0.1,0.4,30,0,0.1,0,0,0.1,0,0.2,0.4,45.5
James Johnson,TOR,29,1.4,2.4,59.7,0.1,0.3,38.9,0.1,0.4,31.8,0.1,0.5,14.3,0.1,0.3,43.8,0.2,0.5,35.7
Jason Thompson,TOR,29,0.9,1.4,63,0.4,0.9,43.8,0.2,0.4,37.5,0,0,0,0,0.1,0,0.3,0.7,38.5
Jonas Valanciunas,TOR,24,3.5,5.5,63.5,0.9,2,45.4,0.7,1.5,45.5,0,0,0,0,0,0,0,0,0
Kyle Lowry,TOR,30,2.3,4.1,55.8,0.6,1.7,36.1,1,2.7,37.6,0.2,0.5,43.9,0.1,0.2,55.6,2.4,6.3,38
Lucas Nogueira,TOR,23,1,1.4,71.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,33.3
Luis Scola,TOR,36,1.5,2.6,56.6,0.7,1.6,43.1,0.5,1.5,33.6,0.3,0.6,46.5,0.3,0.6,46.3,0.3,1,34.2
Norman Powell,TOR,23,0.9,1.5,55.4,0,0.4,5.9,0.4,1.1,38.8,0.3,0.7,44.4,0.3,0.5,60,0.3,1,32.6
Patrick Patterson,TOR,27,0.5,0.9,53.6,0.5,0.9,55.4,0.3,0.7,35.1,0.3,0.9,31.8,0.3,0.7,44.2,0.8,2.2,35.6
Terrence Ross,TOR,25,0.5,0.8,68.4,0.5,0.8,55,0.9,2.3,39.4,0.4,1,40.3,0.2,0.6,34.3,1.3,3.2,39.7
